query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	alntmscore	qtmscore	ttmscore	prob
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	1.000	45	0	0	1	45	1	45	1.235E-06	1.000E+00	1.000E+00	1.000E+00	1.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A396BWT2_unreviewed_MACPF_domain-containing_protein_taxID_817_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.933	45	3	0	1	45	1	45	1.879E-05	7.780E-01	7.780E-01	7.780E-01	1.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A5D3FS95_unreviewed_MACPF_domain-containing_protein_taxID_310300_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	0.311	45	23	1	1	45	1	37	1.488E+00	2.833E-01	2.464E-01	2.833E-01	0.010
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A848GZJ6_unreviewed_MACPF_domain-containing_protein_taxID_2728842_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	0.642	14	5	0	32	45	13	26	4.418E+00	4.722E-01	2.444E-01	3.487E-01	0.007
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A443YUM4_unreviewed_MACPF_domain-containing_protein_taxID_2233776_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.266	45	24	2	1	45	1	36	2.997E+00	3.510E-01	3.224E-01	3.510E-01	0.007
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A7Y7P0U7_unreviewed_MACPF_domain-containing_protein_taxID_2030927_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.272	22	16	0	24	45	2	23	5.572E+00	4.491E-01	3.198E-01	4.493E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A7X0R4F6_unreviewed_MACPF_domain-containing_protein_taxID_2761620_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	0.225	40	26	1	1	35	1	40	2.997E+00	2.487E-01	2.285E-01	2.487E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A3E5G3N2_unreviewed_MACPF_domain-containing_protein_taxID_674529_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	0.363	22	14	0	24	45	5	26	5.158E+00	3.503E-01	3.086E-01	3.725E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A642EQ71_unreviewed_MACPF_domain-containing_protein_taxID_817_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.423	26	10	1	20	45	7	27	4.088E+00	2.674E-01	1.851E-01	2.615E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	I9SQN2_unreviewed_MACPF_domain-containing_protein_taxID_997887_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.321	28	19	0	18	45	2	29	4.774E+00	3.060E-01	2.466E-01	3.038E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A372Z549_unreviewed_MACPF_domain-containing_protein_taxID_2292938_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	0.272	22	16	0	24	45	9	30	7.018E+00	5.373E-01	3.812E-01	5.000E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A420CKE5_unreviewed_MACPF_domain-containing_protein_taxID_2183997_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.177	45	25	1	1	45	1	33	4.774E+00	3.159E-01	2.608E-01	3.159E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A0Q1A5A5_unreviewed_MACPF_domain-containing_protein_taxID_1740090_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	0.236	38	27	1	8	45	5	40	4.774E+00	3.981E-01	3.625E-01	3.877E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A139KT76_unreviewed_MACPF_domain-containing_protein_taxID_329854_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.307	26	13	1	25	45	3	28	5.158E+00	3.457E-01	2.585E-01	3.389E-01	0.000
